Wayne Ellington,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average,stdev,ActualPTS,within_sigma,new_maxmin
C,Al Horford,11/11/2015,ATL,NOP,7500,33.49,40.6,26.7,28.6,38.38,33.49,4.89,44.1,0,1
PG,Dennis Schroder,11/11/2015,ATL,NOP,4600,20.62,32.6,8.9,13.88,27.37,20.625,6.745,19.4,1,0
PG,Jeff Teague,11/11/2015,ATL,NOP,7600,33.12,45.7,20.2,25.14,41.11,33.125,7.985,34,1,0
SG,Justin Holiday,11/11/2015,ATL,NOP,3500,9.27,19.2,2,3.15,15.38,9.265,6.115,1.2,1,1
SG,Kent Bazemore,11/11/2015,ATL,NOP,5300,25.2,38.3,5.9,16,34.4,25.2,9.2,13.6,1,0
SG,Kyle Korver,11/11/2015,ATL,NOP,5100,19.86,45.9,8.9,7.76,31.95,19.855,12.095,18.5,1,0
SG,Lamar Patterson,11/11/2015,ATL,NOP,3500,7.98,12.9,3.2,4.27,11.69,7.98,3.71,,,
PF,Mike Muscala,11/11/2015,ATL,NOP,3500,5.8,11.4,0.2,0.2,11.4,5.8,5.6,7.7,1,0
SF,Mike Scott,11/11/2015,ATL,NOP,3500,8.18,13.8,4.7,5.28,11.07,8.175,2.895,0,1,1
PF,Paul Millsap,11/11/2015,ATL,NOP,8300,38.34,45.4,31.1,34.43,42.26,38.345,3.915,45.2,0,0
PG,Shelvin Mack,11/11/2015,ATL,NOP,3500,0.4,0.4,0.4,0.4,0.4,0.4,0,,,
SF,Thabo Sefolosha,11/11/2015,ATL,NOP,3900,17.08,22.9,10.8,13.52,20.65,17.085,3.565,19,1,0
C,Tiago Splitter,11/11/2015,ATL,NOP,3900,14.13,19.9,9.6,10.69,17.56,14.125,3.435,17.1,1,0
C,Walter Tavares,11/11/2015,ATL,NOP,3500,2.2,2.2,2.2,2.2,2.2,2.2,0,,,
C,Andrea Bargnani,11/11/2015,BKN,HOU,3500,7.71,28.4,-1,-1.22,16.65,7.715,8.935,12.9,1,0
SF,Bojan Bogdanovic,11/11/2015,BKN,HOU,3800,14.41,25.4,7.2,8.42,20.41,14.415,5.995,36.3,0,1
C,Brook Lopez,11/11/2015,BKN,HOU,7900,33.26,44.7,26,25.89,40.63,33.26,7.37,39.4,1,0
PG,Donald Sloan,11/11/2015,BKN,HOU,3500,3.7,6.4,1,1,6.4,3.7,2.7,,,
PG,Jarrett Jack,11/11/2015,BKN,HOU,6200,26.22,44.4,15.2,16.34,36.1,26.22,9.88,24.2,1,0
SG,Joe Johnson,11/11/2015,BKN,HOU,6200,22.64,31.6,6.9,14.68,30.6,22.64,7.96,39.4,0,1
SG,Markel Brown,11/11/2015,BKN,HOU,3500,8.06,14.4,3,3.76,12.36,8.06,4.3,,,
SF,Rondae Hollis-Jefferson,11/11/2015,BKN,HOU,3600,16.27,23.9,5.1,9.7,22.83,16.265,6.565,7.3,1,0
SF,Sergey Karasev,11/11/2015,BKN,HOU,3500,2.1,3.2,1,1,3.2,2.1,1.1,,,
PG,Shane Larkin,11/11/2015,BKN,HOU,3900,12,24,1.7,4.71,19.29,12,7.29,26.6,0,1
PF,Thaddeus Young,11/11/2015,BKN,HOU,5700,26.14,36.6,16.4,19.36,32.92,26.14,6.78,23.3,1,0
PF,Thomas Robinson,11/11/2015,BKN,HOU,4000,11.84,22.4,2.9,5.51,18.17,11.84,6.33,16.2,1,0
SG,Wayne Ellington,11/11/2015,BKN,HOU,3500,7.8,20.8,2.7,1.7,13.9,7.8,6.1,10.9,1,0
C,Amir Johnson,11/11/2015,BOS,IND,4900,16.93,27.9,6.3,9.63,24.23,16.93,7.3,,,
SG,Avery Bradley,11/11/2015,BOS,IND,5800,18.6,31.5,7.1,9.17,28.03,18.6,9.43,,,
PF,David Lee,11/11/2015,BOS,IND,5000,16.77,26.5,6.6,10.26,23.27,16.765,6.505,,,
SF,Evan Turner,11/11/2015,BOS,IND,5700,20.23,35,10.3,10.45,30.02,20.235,9.785,,,
PG,Isaiah Thomas,11/11/2015,BOS,IND,7300,32.52,42.9,22.9,25.02,40.01,32.515,7.495,,,
SF,Jae Crowder,11/11/2015,BOS,IND,4700,25.48,38,17.3,19.2,31.77,25.485,6.285,,,
PF,Jared Sullinger,11/11/2015,BOS,IND,5200,27.82,39.1,14.1,19.98,35.65,27.815,7.835,,,
PF,Jonas Jerebko,11/11/2015,BOS,IND,3500,9.97,15.1,3.4,5.88,14.05,9.965,4.085,,,
PF,Jordan Mickey,11/11/2015,BOS,IND,3500,6.05,6.2,5.9,5.9,6.2,6.05,0.15,,,
C,Kelly Olynyk,11/11/2015,BOS,IND,3700,17.66,40.4,5.4,5.66,29.66,17.66,12,,,
PG,Marcus Smart,11/11/2015,BOS,IND,5800,25.63,32.9,16.1,18.59,32.68,25.635,7.045,,,
PG,Terry Rozier,11/11/2015,BOS,IND,3500,5.3,10.7,1.2,1.31,9.29,5.3,3.99,,,
C,Tyler Zeller,11/11/2015,BOS,IND,4000,6.7,11.5,1.7,2.86,10.54,6.7,3.84,,,
C,Al Jefferson,11/11/2015,CHA,NYK,7300,27.61,43.3,16.8,20.1,35.13,27.615,7.515,,,
PG,Brian Roberts,11/11/2015,CHA,NYK,3500,3.22,7.7,1,0.71,5.73,3.22,2.51,,,
PF,Cody Zeller,11/11/2015,CHA,NYK,3900,17.09,25.7,9.4,11.43,22.75,17.09,5.66,,,
PF,Frank Kaminsky,11/11/2015,CHA,NYK,3500,6.73,16.1,-1,0.66,12.81,6.735,6.075,,,
SG,Jeremy Lamb,11/11/2015,CHA,NYK,4100,20.4,32.3,6.8,12.82,27.98,20.4,7.58,,,
PG,Jeremy Lin,11/11/2015,CHA,NYK,4700,20.56,28,13.2,15.99,25.12,20.555,4.565,,,
PG,Kemba Walker,11/11/2015,CHA,NYK,7200,29.26,35.8,20,23.5,35.01,29.255,5.755,,,
PF,Marvin Williams,11/11/2015,CHA,NYK,5000,25.8,35.4,15.8,19.72,31.88,25.8,6.08,,,
SF,Nicolas Batum,11/11/2015,CHA,NYK,6500,27.99,40,17.7,21.58,34.4,27.99,6.41,,,
SF,P.J. Hairston,11/11/2015,CHA,NYK,3500,8.74,16,5.5,5.18,12.31,8.745,3.565,,,
C,Spencer Hawes,11/11/2015,CHA,NYK,3500,12.13,20.8,4.4,6.76,17.49,12.125,5.365,,,
SG,Troy Daniels,11/11/2015,CHA,NYK,3500,2.37,3.2,1.5,1.67,3.06,2.365,0.695,,,
PF,Tyler Hansbrough,11/11/2015,CHA,NYK,3500,8.6,8.6,8.6,8.6,8.6,8.6,0,,,
SF,Chandler Parsons,11/11/2015,DAL,LAC,5700,9.26,12.1,5.2,6.7,11.82,9.26,2.56,,,
PF,Charlie Villanueva,11/11/2015,DAL,LAC,3500,14.12,29.8,6.4,6.54,21.69,14.115,7.575,,,
PG,Deron Williams,11/11/2015,DAL,LAC,6700,23.95,28,13.5,18.82,29.08,23.95,5.13,,,
SG,Devin Harris,11/11/2015,DAL,LAC,4100,16.41,22.7,1.7,9.75,23.08,16.415,6.665,,,
PF,Dirk Nowitzki,11/11/2015,DAL,LAC,6500,29.19,38.3,21.2,24.22,34.15,29.185,4.965,,,
PF,Dwight Powell,11/11/2015,DAL,LAC,4600,24.04,30.5,17.6,19.14,28.95,24.045,4.905,,,
PG,J.J. Barea,11/11/2015,DAL,LAC,4300,18.57,24.7,13.3,14.72,22.42,18.57,3.85,,,
PF,Jeremy Evans,11/11/2015,DAL,LAC,3500,8.16,18.2,1.2,2.57,13.75,8.16,5.59,,,
SG,John Jenkins,11/11/2015,DAL,LAC,3600,16.3,26.7,5.9,5.9,26.7,16.3,10.4,,,
SF,Justin Anderson,11/11/2015,DAL,LAC,3500,7.2,15.7,1.2,0.94,13.46,7.2,6.26,,,
PG,Raymond Felton,11/11/2015,DAL,LAC,3600,13,31.8,5.4,4.56,21.44,13,8.44,,,
C,Salah Mejri,11/11/2015,DAL,LAC,3500,3.67,7.6,1.2,0.86,6.48,3.67,2.81,,,
SG,Wesley Matthews,11/11/2015,DAL,LAC,5300,12.73,18.4,0.7,7.08,18.39,12.735,5.655,,,
C,Zaza Pachulia,11/11/2015,DAL,LAC,5400,24.53,33,9.4,15.89,33.17,24.53,8.64,,,
SF,Danilo Gallinari,11/11/2015,DEN,MIL,6400,27.11,45.1,12.9,15.94,38.29,27.115,11.175,,,
PF,Darrell Arthur,11/11/2015,DEN,MIL,3500,12.83,17.8,10.1,10.03,15.62,12.825,2.795,,,
PG,Emmanuel Mudiay,11/11/2015,DEN,MIL,5800,25.36,34.7,16.3,19.2,31.51,25.355,6.155,,,
SG,Gary Harris,11/11/2015,DEN,MIL,3800,16.1,25.5,7.7,9.29,22.91,16.1,6.81,,,
PF,J.J. Hickson,11/11/2015,DEN,MIL,4400,20.16,42.1,4.2,5.33,34.99,20.16,14.83,,,
PG,Jameer Nelson,11/11/2015,DEN,MIL,4500,17.63,24.7,11.2,13.05,22.22,17.635,4.585,,,
PF,Joffrey Lauvergne,11/11/2015,DEN,MIL,4000,21.93,24.9,19,19.52,24.34,21.93,2.41,,,
PF,Kenneth Faried,11/11/2015,DEN,MIL,6800,28.43,43.5,14.9,19.86,37,28.43,8.57,,,
SF,Kostas Papanikolaou,11/11/2015,DEN,MIL,3500,6.65,12.1,1.2,1.2,12.1,6.65,5.45,,,
SF,Mike Miller,11/11/2015,DEN,MIL,3500,5.18,11.4,1.4,1.05,9.3,5.175,4.125,,,
C,Nikola Jokic,11/11/2015,DEN,MIL,3500,12.15,20.3,1,6.08,18.22,12.15,6.07,,,
SG,Randy Foye,11/11/2015,DEN,MIL,3500,8.86,16.7,-1,2.8,14.91,8.855,6.055,,,
SG,Will Barton,11/11/2015,DEN,MIL,4900,23.57,39.1,15.1,16.34,30.8,23.57,7.23,,,
C,Andre Drummond,11/11/2015,DET,SAC,9900,49.2,70.4,35.4,36.65,61.75,49.2,12.55,,,
PF,Anthony Tolliver,11/11/2015,DET,SAC,3500,8.57,18.6,0.2,2.29,14.85,8.57,6.28,,,
C,Aron Baynes,11/11/2015,DET,SAC,3500,9.93,12.7,6.3,7.53,12.34,9.935,2.405,,,
PF,Ersan Ilyasova,11/11/2015,DET,SAC,4400,14.5,27.9,6.9,7.76,21.24,14.5,6.74,,,
SG,Jodie Meeks,11/11/2015,DET,SAC,3600,3.4,3.4,3.4,3.4,3.4,3.4,0,,,
SG,Kentavious Caldwell-Pope,11/11/2015,DET,SAC,5200,24.13,27.8,15.8,20.34,27.92,24.13,3.79,,,
SF,Marcus Morris,11/11/2015,DET,SAC,5900,28.76,36,20.7,23,34.51,28.755,5.755,,,
SF,Reggie Bullock,11/11/2015,DET,SAC,3500,0.7,2.4,-1,-1,2.4,0.7,1.7,,,
PG,Reggie Jackson,11/11/2015,DET,SAC,8200,35.21,55.5,23.4,25.16,45.27,35.215,10.055,,,
PG,Spencer Dinwiddie,11/11/2015,DET,SAC,3500,1.2,1.2,1.2,1.2,1.2,1.2,0,,,
SF,Stanley Johnson,11/11/2015,DET,SAC,3900,13.66,28.4,2,5.79,21.52,13.655,7.865,,,
PG,Steve Blake,11/11/2015,DET,SAC,3500,8.81,16.3,0.5,4.26,13.37,8.815,4.555,,,
SF,Andre Iguodala,11/11/2015,GSW,MEM,4700,22.85,34.2,13.5,16.96,28.74,22.85,5.89,,,
C,Andrew Bogut,11/11/2015,GSW,MEM,5400,25.15,29.5,20.8,20.8,29.5,25.15,4.35,,,
SG,Brandon Rush,11/11/2015,GSW,MEM,3500,9.3,13.3,4.4,5.61,12.99,9.3,3.69,,,
PF,Draymond Green,11/11/2015,GSW,MEM,7800,32.2,42.5,20.5,25.42,38.98,32.2,6.78,,,
C,Festus Ezeli,11/11/2015,GSW,MEM,4300,22.46,30.4,12.5,16.96,27.97,22.465,5.505,,,
SF,Harrison Barnes,11/11/2015,GSW,MEM,5100,23.49,32.3,14.4,17.92,29.06,23.49,5.57,,,
SG,Ian Clark,11/11/2015,GSW,MEM,3500,9.93,20.1,4.7,2.74,17.12,9.93,7.19,,,
PF,James Michael McAdoo,11/11/2015,GSW,MEM,3500,7.2,18.9,1.5,0.79,13.61,7.2,6.41,,,
PF,Jason Thompson,11/11/2015,GSW,MEM,4300,7.3,14.8,1.2,2.39,12.21,7.3,4.91,,,
SG,Klay Thompson,11/11/2015,GSW,MEM,6800,25.45,33.5,13.4,18.48,32.42,25.45,6.97,,,
SG,Leandro Barbosa,11/11/2015,GSW,MEM,3700,12.03,18.5,8,8.59,15.46,12.025,3.435,,,
PF,Marreese Speights,11/11/2015,GSW,MEM,3500,12.11,22.3,4,6.46,17.77,12.115,5.655,,,
PG,Shaun Livingston,11/11/2015,GSW,MEM,3500,10.51,15.8,5.2,7.65,13.37,10.51,2.86,,,
PG,Stephen Curry,11/11/2015,GSW,MEM,10700,50.01,77.3,33.7,36.17,63.86,50.015,13.845,,,
C,Clint Capela,11/11/2015,HOU,BKN,4700,21.17,36.4,8.2,13.16,29.18,21.17,8.01,,,
SF,Corey Brewer,11/11/2015,HOU,BKN,3900,15.57,23.9,3,8.66,22.48,15.57,6.91,,,
C,Dwight Howard,11/11/2015,HOU,BKN,8100,35.58,45.5,20.4,26.25,44.9,35.575,9.325,,,
SG,James Harden,11/11/2015,HOU,BKN,10100,45.46,66.7,31.9,33.93,56.98,45.455,11.525,,,
PG,Jason Terry,11/11/2015,HOU,BKN,3500,5.16,8.9,2.2,2.77,7.55,5.16,2.39,,,
SF,K.J. McDaniels,11/11/2015,HOU,BKN,3500,5.2,5.2,5.2,5.2,5.2,5.2,0,,,
SG,Marcus Thornton,11/11/2015,HOU,BKN,4500,26.62,30.3,22.9,23.95,29.29,26.62,2.67,,,
PF,Montrezl Harrell,11/11/2015,HOU,BKN,3500,9.38,22.6,1.2,1.56,17.21,9.385,7.825,,,
PG,Patrick Beverley,11/11/2015,HOU,BKN,3600,12.26,20.1,7.4,7.89,16.63,12.26,4.37,,,
SF,Sam Dekker,11/11/2015,HOU,BKN,3500,3.2,3.2,3.2,3.2,3.2,3.2,0,,,
PF,Terrence Jones,11/11/2015,HOU,BKN,5700,18.25,24.2,12.3,12.3,24.2,18.25,5.95,,,
SF,Trevor Ariza,11/11/2015,HOU,BKN,5800,23.86,33.4,14.9,17.11,30.6,23.855,6.745,,,
PG,Ty Lawson,11/11/2015,HOU,BKN,6600,24.4,40.5,13.8,16.36,32.44,24.4,8.04,,,
SF,C.J. Miles,11/11/2015,IND,BOS,4600,17.96,23.7,13.4,13.8,22.12,17.96,4.16,,,
SF,Chase Budinger,11/11/2015,IND,BOS,3500,7.65,14.6,1.2,3.14,12.16,7.65,4.51,,,
PG,George Hill,11/11/2015,IND,BOS,6700,28.05,40.4,18,20.68,35.42,28.05,7.37,,,
C,Ian Mahinmi,11/11/2015,IND,BOS,4500,18.76,31.1,-1,9.34,28.17,18.755,9.415,,,
C,Jordan Hill,11/11/2015,IND,BOS,4800,21.23,30,11.2,15.46,27,21.23,5.77,,,
SG,Joseph Young,11/11/2015,IND,BOS,3500,-1,-1,-1,-1,-1,-1,0,,,
PF,Lavoy Allen,11/11/2015,IND,BOS,3600,11.94,20.7,2.7,5.53,18.36,11.945,6.415,,,
SG,Monta Ellis,11/11/2015,IND,BOS,6300,23.18,37.5,11.9,15.4,30.95,23.175,7.775,,,
PF,Myles Turner,11/11/2015,IND,BOS,3500,13.16,18.8,3.4,8.26,18.05,13.155,4.895,,,
SF,Paul George,11/11/2015,IND,BOS,8900,41.16,58.9,20.1,30.25,52.07,41.16,10.91,,,
SG,Rodney Stuckey,11/11/2015,IND,BOS,4700,18.13,30.8,8.7,10.32,25.94,18.13,7.81,,,
C,Shayne Whittington,11/11/2015,IND,BOS,3500,-2,-2,-2,-2,-2,-2,0,,,
PG,Austin Rivers,11/11/2015,LAC,DAL,3500,11.04,19.9,-2,4.82,17.26,11.04,6.22,,,
PF,Blake Griffin,11/11/2015,LAC,DAL,10200,46.79,57.8,39,40.39,53.19,46.79,6.4,,,
PG,Chris Paul,11/11/2015,LAC,DAL,9100,32.55,45.1,22.1,23.04,42.06,32.55,9.51,,,
C,Cole Aldrich,11/11/2015,LAC,DAL,3600,1,1,1,1,1,1,0,,,
C,DeAndre Jordan,11/11/2015,LAC,DAL,8000,34.51,53.1,24.8,26.19,42.84,34.515,8.325,,,
SG,J.J. Redick,11/11/2015,LAC,DAL,4800,19.41,28,15,14.77,24.05,19.41,4.64,,,
SG,Jamal Crawford,11/11/2015,LAC,DAL,4400,14.89,20.4,7,10.42,19.35,14.885,4.465,,,
PF,Josh Smith,11/11/2015,LAC,DAL,4200,13.76,18.5,5.9,9.09,18.43,13.76,4.67,,,
SG,Lance Stephenson,11/11/2015,LAC,DAL,3500,12.59,19.1,4.1,7.8,17.38,12.59,4.79,,,
SF,Luc Richard Mbah a Moute,11/11/2015,LAC,DAL,3500,1.5,1.5,1.5,1.5,1.5,1.5,0,,,
