FantasyPros.com , ,,,,,,,,,,,,
NBA Overall 2015 Projections , ,,,,,,,,,,,,
Expert Consensus Rankings (ECR) , ,,,,,,,,,,,,
,,,,,,,,,,,,,
Player Name ,Position ,Team , PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
Blake Griffin,"PF,C",LAC,24,8,5,1,1,0.487,0.76,0,1,37,3
Stephen Curry,"PG,SG",GSW,23,4,8,0,2,0.465,0.906,4,1,34,3
Damian Lillard,PG,POR,23,4,7,0,1,0.448,0.867,3,1,36,3
LaMarcus Aldridge,"PF,C",SAS,21,10,2,1,1,0.497,0.811,0,1,34,2
Jimmy Butler,"SG,SF",CHI,21,5,4,1,2,0.462,0.82,2,1,37,2
Rudy Gay,"SF,PF",SAC,20,6,3,1,1,0.463,0.775,1,1,35,2
Paul George,"SG,SF,PF",IND,20,7,4,0,1,0.434,0.838,2,1,35,3
Jeff Teague,PG,ATL,20,3,7,0,2,0.467,0.858,1,1,33,3
Klay Thompson,"SG,SF",GSW,19,4,3,1,1,0.45,0.938,2,1,33,2
Paul Millsap,"PF,C",ATL,18,8,4,1,2,0.501,0.711,1,1,33,2
Al Horford,"PF,C",ATL,17,8,3,1,1,0.542,0.787,0,1,32,2
Andrew Wiggins,"SG,SF",MIN,17,5,2,1,1,0.433,0.792,1,1,35,2
Victor Oladipo,"PG,SG",ORL,17,4,4,0,2,0.428,0.855,1,1,35,2
Pau Gasol,"PF,C",CHI,17,10,3,2,1,0.484,0.724,0,1,32,2
Kawhi Leonard,"SG,SF",SAS,17,7,3,1,2,0.487,0.907,1,1,33,2
Reggie Jackson,"PG,SG",DET,17,4,7,0,1,0.426,0.794,1,1,34,3
Derrick Rose,PG,CHI,17,3,5,0,1,0.406,0.82,1,1,32,3
DeMarcus Cousins,"PF,C",SAC,17,10,2,1,1,0.44,0.745,0,1,30,3
Kevin Martin,"SG,SF",MIN,17,3,2,0,1,0.436,0.883,2,1,31,2
Marc Gasol,C,MEM,17,9,3,1,1,0.497,0.793,0,1,33,2
Monta Ellis,"PG,SG",IND,16,4,5,0,2,0.415,0.788,1,1,34,3
C.J. McCollum,"PG,SG",POR,16,3,3,0,2,0.425,0.773,3,1,35,2
Tobias Harris,"SF,PF",ORL,16,6,2,0,1,0.471,0.745,1,1,33,1
George Hill,"PG,SG",IND,16,4,5,0,1,0.455,0.773,2,1,34,2
Zach Randolph,"PF,C",MEM,16,10,2,0,1,0.473,0.759,0,1,32,2
Andre Drummond,"PF,C",DET,15,13,1,2,1,0.502,0.431,0,1,34,2
Mike Conley,PG,MEM,15,3,6,0,1,0.421,0.889,1,1,33,2
Danilo Gallinari,SF,DEN,15,5,2,1,1,0.417,0.876,2,1,33,1
Nikola Mirotic,"SF,PF",CHI,15,7,2,1,1,0.473,0.866,2,1,29,2
T.J. McConnell,PG,PHI,14,6,3,1,1,0.448,0.781,1,1,38,2
Tony Parker,PG,SAS,14,3,5,0,1,0.474,0.821,1,1,29,2
Kenneth Faried,"PF,C",DEN,14,10,1,1,1,0.511,0.674,0,1,30,2
J.J. Redick,SG,LAC,14,3,2,0,1,0.46,0.953,2,1,32,1
Jahlil Okafor,C,PHI,14,7,2,1,1,0.477,0.675,0,1,32,2
Kentavious Caldwell-Pope,SG,DET,13,4,2,0,1,0.408,0.835,2,1,33,1
Evan Fournier,SG,ORL,13,3,2,0,1,0.432,0.753,2,1,31,2
Tim Duncan,"PF,C",SAS,13,8,3,2,1,0.515,0.8,0,1,27,2
Nerlens Noel,"PF,C",PHI,13,9,2,2,2,0.484,0.62,0,1,34,2
Draymond Green,"SF,PF",GSW,13,8,3,1,1,0.453,0.657,2,1,32,2
Emmanuel Mudiay,PG,DEN,13,5,4,0,1,0.415,0.647,1,1,30,3
Ersan Ilyasova,"SF,PF",DET,13,5,1,1,1,0.447,0.695,1,1,29,1
Marcus Morris,"SF,PF",DET,12,5,2,0,1,0.427,0.697,1,1,31,1
Dennis Schroder,PG,ATL,12,2,5,0,1,0.436,0.848,1,1,25,2
Ricky Rubio,PG,MIN,12,4,8,0,2,0.414,0.872,1,1,32,3
Danny Green,"SG,SF",SAS,12,4,2,1,1,0.454,0.716,2,1,29,1
Shabazz Muhammad,"SG,SF",MIN,12,4,1,0,1,0.454,0.768,1,1,24,1
C.J. Miles,"SG,SF",IND,12,3,1,0,1,0.431,0.808,2,1,25,1
Harrison Barnes,"SF,PF",GSW,12,5,2,0,1,0.466,0.851,1,1,31,1
Jeff Green,"SG,SF",MEM,12,4,1,0,1,0.411,0.778,1,1,27,1
Karl-Anthony Towns,C,MIN,11,7,2,1,1,0.452,0.855,1,1,29,2
Rodney Stuckey,"PG,SG",IND,11,3,3,0,1,0.442,0.836,1,1,25,2
Jamal Crawford,"SG,SF",LAC,11,2,2,0,1,0.405,0.891,1,1,22,1
Jordan Hill,"PF,C",IND,11,8,1,1,1,0.468,0.752,0,1,26,2
Mason Plumlee,"PF,C",POR,11,7,2,1,1,0.552,0.364,0,1,27,2
Al-Farouq Aminu,"SF,PF",POR,11,8,2,1,1,0.474,0.699,1,1,31,2
Nik Stauskas,SG,PHI,11,3,2,1,1,0.403,0.876,1,1,30,1
Kyle Korver,"SG,SF",ATL,11,6,2,0,1,0.482,1,2,1,33,1
Omri Casspi,SF,SAC,11,4,2,0,1,0.473,0.649,1,1,25,1
Rajon Rondo,PG,SAC,11,5,7,0,1,0.424,0.442,1,1,31,3
Elfrid Payton,PG,ORL,11,4,7,0,2,0.401,0.809,1,1,32,3
Meyers Leonard,"PF,C",POR,11,8,1,1,0,0.523,0.882,1,1,29,1
Courtney Lee,"SG,SF",MEM,10,3,2,0,1,0.43,0.892,1,1,30,1
Hollis Thompson,"SG,SF",PHI,10,4,2,0,1,0.428,0.808,2,1,28,1
Zach LaVine,PG,MIN,10,3,4,0,1,0.421,0.929,1,1,25,2
Marco Belinelli,"SG,SF",SAC,10,3,2,0,1,0.417,0.812,1,1,26,1
Manu Ginobili,"SG,SF",SAS,10,3,4,0,1,0.455,0.79,1,1,20,2
Isaiah Canaan,PG,PHI,10,2,2,0,1,0.401,0.82,2,1,22,2
Willie Cauley-Stein,C,SAC,9,5,1,1,1,0.468,0.598,0,1,25,1
Ed Davis,"PF,C",POR,9,8,1,2,1,0.566,0.484,0,1,25,1
Chris Paul,PG,LAC,9,2,5,0,1,0.24,0.434,1,1,17,1
DeAndre Jordan,C,LAC,9,12,1,2,1,0.643,0.374,0,1,32,1
Aaron Brooks,PG,CHI,9,2,3,0,1,0.414,0.753,1,1,21,2
Nemanja Bjelica,PF,MIN,9,5,2,0,1,0.444,0.563,1,1,26,1
Will Barton,"SG,SF",DEN,9,4,2,0,1,0.425,0.853,1,1,24,1
Taj Gibson,"PF,C",CHI,9,6,1,1,0,0.505,0.646,0,1,23,1
Ben McLemore,SG,SAC,9,3,1,0,1,0.417,0.758,1,1,24,1
Matt Barnes,SF,MEM,9,4,1,0,1,0.428,0.805,1,1,25,1
Stanley Johnson,SF,DET,8,4,1,0,1,0.407,0.622,1,1,24,1
J.J. Hickson,"PF,C",DEN,8,7,1,1,0,0.484,0.401,0,1,11,1
David West,PF,SAS,8,5,2,1,1,0.478,0.732,0,1,19,1
Tim Hardaway Jr.,"SG,SF",ATL,8,2,1,0,0,0.414,0.789,1,1,18,1
Randy Foye,"PG,SG",DEN,8,2,2,0,1,0.383,0.873,1,1,22,1
Patty Mills,PG,SAS,8,2,2,0,1,0.433,0.644,1,1,19,1
Andre Iguodala,"SG,SF",GSW,8,4,3,0,1,0.468,0.522,1,1,26,1
Boris Diaw,"PF,C",SAS,8,3,3,0,1,0.464,0.64,1,1,12,1
Gorgui Dieng,"PF,C",MIN,8,7,1,1,1,0.519,0.787,0,1,25,1
Josh Smith,"SF,PF",LAC,8,4,2,1,1,0.419,0.486,1,1,21,2
Jameer Nelson,PG,DEN,8,2,4,0,1,0.423,0.778,1,1,20,2
Myles Turner,C,IND,8,5,1,1,0,0.475,0.686,0,1,21,1
Chase Budinger,"SG,SF",IND,8,3,1,0,1,0.43,0.395,1,1,21,1
Tony Allen,"SG,SF",MEM,8,4,1,0,2,0.459,0.565,0,1,25,1
Jerami Grant,"SF,PF",PHI,8,4,2,1,1,0.367,0.691,1,1,13,2
Lance Stephenson,"SG,SF",LAC,8,3,3,0,1,0.46,0.628,1,1,25,1
Marreese Speights,"PF,C",GSW,8,4,1,1,0,0.479,0.776,0,1,15,1
Kent Bazemore,"SG,SF",ATL,8,4,2,0,1,0.407,0.752,1,1,24,1
Aaron Gordon,PF,ORL,7,5,1,1,1,0.456,0.682,1,1,23,1
Andrew Bogut,C,GSW,7,7,1,2,1,0.529,0.643,0,1,24,1
Doug McDermott,SF,CHI,7,3,1,0,0,0.408,0.714,2,1,23,1
Chris Kaman,"PF,C",POR,7,4,1,1,0,0.5,0.684,0,1,17,1
Austin Rivers,"PG,SG",LAC,7,2,2,0,1,0.41,0.63,1,1,21,1
Maurice Harkless,SF,POR,7,4,2,0,1,0.425,0.587,1,1,13,1
Gary Harris,SG,DEN,7,2,2,0,1,0.365,0.713,1,1,14,1
Mario Hezonja,SG,ORL,7,2,1,0,1,0.432,0.847,1,1,19,1
Brandan Wright,"PF,C",MEM,7,5,1,1,0,0.595,0.605,0,1,21,1
Tony Snell,"SG,SF",CHI,7,3,1,0,1,0.404,0.832,1,1,15,1
Tayshaun Prince,"SF,PF",MIN,7,3,1,0,1,0.381,0.7,1,1,13,1
Ray McCallum,PG,SAS,7,2,3,0,1,0.391,0.733,1,1,19,1
Joakim Noah,"PF,C",CHI,7,8,3,1,1,0.48,0.449,0,1,25,1
Thabo Sefolosha,"SG,SF",ATL,7,4,2,0,1,0.477,0.491,1,1,20,1
Kosta Koufos,"PF,C",SAC,7,6,1,1,0,0.513,0.553,0,1,22,1
Beno Udrih,PG,MEM,7,2,3,0,1,0.424,0.895,1,1,19,1
Ben Gordon,SG,FA,6,2,1,0,0,0.471,0.727,1,1,15,1
Anthony Tolliver,"SF,PF",DET,6,3,1,0,0,0.401,0.487,1,1,12,1
Darren Collison,PG,SAC,6,1,2,0,1,0.232,0.406,1,1,14,1
Kevin Garnett,"PF,C",MIN,6,5,1,1,1,0.441,0.644,0,1,19,1
Jakarr Sampson,"SF,PF",PHI,6,3,1,0,1,0.394,0.699,0,1,10,1
Leandro Barbosa,"PG,SG",GSW,6,1,1,0,1,0.443,0.633,1,1,16,1
Festus Ezeli,C,GSW,6,5,1,1,0,0.554,0.501,0,1,12,1
Shaun Livingston,"PG,SG",GSW,6,2,3,0,1,0.449,0.771,0,1,19,1
Paul Pierce,"SF,PF",LAC,5,2,1,0,0,0.224,0.395,1,1,12,1
Nikola Jokic,C,DEN,5,3,1,1,0,0.45,0.556,0,1,9,1
Lavoy Allen,"PF,C",IND,5,5,1,1,0,0.451,0.35,0,1,13,1
Quincy Acy,"SF,PF",SAC,5,4,1,0,0,0.485,0.646,0,1,12,1
Jason Smith,"PF,C",ORL,5,3,1,0,0,0.426,0.787,0,1,17,1
Channing Frye,"PF,C",ORL,5,2,1,0,0,0.406,0.658,1,1,3,1
Wesley Johnson,"SG,SF",LAC,5,2,1,0,0,0.437,0.782,1,1,16,1
Ian Mahinmi,C,IND,5,5,1,1,0,0.509,0.375,0,1,12,1
C.J. Watson,PG,ORL,5,1,2,0,1,0.425,0.523,1,1,12,1
Steve Blake,"PG,SG",DET,5,2,4,0,1,0.385,0.63,1,1,9,1
Mike Scott,PF,ATL,5,2,1,0,0,0.471,0.925,0,1,8,0
Allen Crabbe,SG,POR,5,2,1,0,0,0.414,0.636,1,1,11,1
Aron Baynes,C,DET,5,3,0,0,0,0.516,0.637,0,1,13,1
Dewayne Dedmon,C,ORL,4,5,0,1,0,0.498,0.828,0,1,13,1
Caron Butler,SF,SAC,4,2,1,0,1,0.376,0.815,1,1,10,1
Andre Miller,"PG,SG",MIN,4,2,3,0,1,0.409,0.779,0,1,9,1
Tiago Splitter,C,ATL,4,3,1,0,0,0.275,0.381,0,1,10,1
Joffrey Lauvergne,"PF,C",DEN,4,4,1,1,1,0.486,0.833,0,1,13,1
Richaun Holmes,PF,PHI,4,3,1,0,0,0.413,0.426,0,1,3,1
Devyn Marble,"SG,SF",ORL,3,2,1,0,1,0.433,0.6,0,1,13,1
Joseph Young,SG,IND,3,1,2,0,0,0.446,0.362,0,1,1,1
Noah Vonleh,PF,POR,3,3,0,0,0,0.577,0,0,0,11,0
Jason Thompson,"PF,C",GSW,3,3,1,0,0,0.499,0.608,0,1,13,1
Darrell Arthur,"PF,C",DEN,3,2,1,0,0,0.366,0.6,0,1,2,0
Solomon Hill,"SG,SF",IND,3,2,1,0,0,0.192,0.372,0,1,0,0
Kirk Hinrich,"PG,SG",CHI,3,1,1,0,0,0.192,0.354,0,1,0,0
Shelvin Mack,PG,ATL,3,1,1,0,0,0.419,0.431,0,1,8,1
Shabazz Napier,PG,ORL,2,1,1,0,0,0.423,0.865,0,1,5,1
Glenn Robinson,F,IND,2,1,0,0,0,0.483,0,0,1,6,0
Cole Aldrich,C,LAC,2,2,0,1,0,0.504,0.611,0,1,10,0
Vince Carter,"SG,SF",MEM,2,1,0,0,0,0.4,0.667,0,1,6,0
Damjan Rudez,"SG,SF",MIN,2,0,0,0,0,0.242,0.337,0,1,0,0
Luis Montero,SF,POR,2,1,0,0,0,0.429,0.8,0,1,5,0
Russ Smith,PG,MEM,1,0,0,0,0,0.361,0.423,0,1,2,0
Seth Curry,PG,SAC,1,0,0,0,0,0.242,0.467,0,1,0,0
Lorenzo Brown,PG,FA,1,1,1,0,0,0.385,0,0,0,4,0
Cartier Martin,"SG,SF",FA,1,1,0,0,0,0.417,0,0,0,5,0
Spencer Dinwiddie,PG,DET,1,0,1,0,0,0.306,0.499,0,1,1,0
Boban Marjanovic,C,SAS,1,1,0,0,0,0.412,0.833,0,1,3,0
Reggie Bullock,"SG,SF",DET,1,1,0,0,0,0.444,0,0,0,4,0
Joel Anthony,"PF,C",DET,1,1,0,0,0,0.722,0.4,0,1,3,0
Christian Wood,PF,PHI,1,1,0,0,0,0.5,0.333,0,0,3,0
David Stockton,PG,FA,1,0,1,0,0,0.333,0,0,0,3,0
Pierre Jackson,PG,FA,1,1,0,0,0,0.429,0,0,0,2,0
Reggie Williams,"SG,SF",FA,1,0,0,0,0,0.429,0,0,0,2,0
Danny Granger,SF,FA,1,0,0,0,0,0.429,0,0,0,3,0
Tim Frazier,PG,POR,1,1,1,0,0,0.333,0.268,0,1,1,1
Jarnell Stokes,PF,MEM,1,1,0,0,0,0.5,0,0,0,3,0
Jimmer Fredette,"PG,SG",FA,1,0,0,0,0,0.429,0,0,0,2,0
JaMychal Green,PF,MEM,1,1,0,0,0,0.5,0.333,0,1,2,0
Adreian Payne,PF,MIN,1,1,0,0,0,0.479,0.25,0,1,2,0
Matt Bonner,"PF,C",SAS,1,0,0,0,0,0.5,0,0,0,2,0
Walter Tavares,C,ATL,1,0,0,0,0,0.5,0,0,0,2,0
Cady Lalanne,PF,FA,1,0,0,0,0,0.6,0,0,0,2,0
Andrew Nicholson,PF,ORL,1,0,0,0,0,0.429,0,0,0,2,0
E'Twaun Moore,"PG,SG",CHI,1,0,0,0,0,0.375,0,0,1,2,0
Justin Holiday,"SG,SF",ATL,1,0,0,0,0,0.5,0,0,1,2,0
James Michael McAdoo,SG,GSW,1,0,0,0,0,0.5,0,0,1,2,0
Darrun Hilliard,SG,DET,1,0,0,0,0,0.4,0,0,0,1,0
Luc Mbah a Moute,"SF,PF",LAC,1,0,0,0,0,0.4,0,0,0,2,0
Rakeem Christmas,PF,IND,1,0,0,0,0,0.5,0,0,0,1,0
Ian Clark,"PG,SG",GSW,1,0,0,0,0,0.5,0,0,0,1,0
Nick Johnson,SG,FA,1,0,0,0,0,0.333,0,0,0,2,0
Andrew Harrison,PG,FA,1,0,0,0,0,0.4,0,0,0,1,0
Lamar Patterson,SG,ATL,1,0,0,0,0,0.429,0,0,1,2,0
Bobby Portis,PF,CHI,1,0,0,0,0,0.5,0,0,1,1,0
Tyler Harvey,SG,FA,0,0,0,0,0,0.25,0,0,0,1,0
Kyle Anderson,SF,SAS,0,0,0,0,0,0.429,0,0,1,1,0
C.J. Wilcox,SG,LAC,0,0,0,0,0,0.5,0,0,0,1,0
Shayne Whittington,C,IND,0,0,0,0,0,0.5,0,0,0,1,0
Brandon Rush,SG,GSW,0,0,0,0,0,0.4,0,0,1,1,0
James Anderson,"SG,SF",SAC,0,0,0,0,0,0,0,0,1,1,0
Pat Connaughton,SG,POR,0,0,0,0,0,0.333,0,0,0,1,0
Branden Dawson,SF,LAC,0,0,0,0,0,0.5,0,0,0,1,0
Joey Dorsey,"PF,C",FA,0,1,0,0,0,0.5,0,0,0,2,0
Cameron Bairstow,"PF,C",CHI,0,0,0,0,0,0.5,0,0,1,1,0
Jordan Adams,SG,MEM,0,0,0,0,0,0,0,0,1,0,0
Phil Pressey,PG,PHI,0,0,0,0,0,0,0,0,1,0,0
Mike Miller,"SG,SF",DEN,0,0,0,0,0,0,0,0,1,0,0
Tyus Jones,PG,MIN,0,0,0,0,0,0,0,0,0,0,0
Gerald Henderson,"SG,SF",POR,0,0,0,0,0,0,0,0,0,0,0
Dimitrios Agravanis,PF,FA,0,0,0,0,0,0,0,0,1,0,0
Wilson Chandler,"SG,SF",DEN,0,0,0,0,0,0,0,0,0,0,0
Nikola Pekovic,C,MIN,0,0,0,0,0,0,0,0,0,0,0
Pablo Prigioni,"PG,SG",LAC,0,0,0,0,0,0,0,0,0,0,0
Jarell Martin,PF,MEM,0,0,0,0,0,0,0,0,0,0,0
Carl Landry,"SF,PF",PHI,0,0,0,0,0,0,0,0,0,0,0
Nikola Vucevic,"PF,C",ORL,0,0,0,0,0,0,0,0,1,0,0
Gerald Wallace,"SF,PF",FA,0,0,0,0,0,0,0,0,1,0,0
Tony Wroten,"PG,SG",PHI,0,0,0,0,0,0,0,0,0,0,0
Furkan Aldemir,PF,FA,0,0,0,0,0,0,0,0,0,0,0
Jusuf Nurkic,C,DEN,0,0,0,0,0,0,0,0,0,0,0
Chris Babb,SG,FA,0,0,0,0,0,0,0,0,0,0,0
Mike Dunleavy,"SG,SF",CHI,0,0,0,0,0,0,0,0,0,0,0
Jodie Meeks,SG,DET,0,0,0,0,0,0,0,0,0,0,0
Kendall Marshall,PG,PHI,0,0,0,0,0,0,0,0,0,0,0
Erick Green,"PG,SG",FA,0,0,0,0,0,0,0,0,1,0,0
Robert Covington,"SG,SF",PHI,0,0,0,0,0,0,0,0,0,0,0
